continent,country_code,latitude,longitude,temperature,max_temperature,min_temperature,humidity,wind_speed,precipitation,uv_index,condition,event_type,year,month,day
nar,CAN,54.62030857,-117.2549,12.0,14.1,9.1,93,20.2,11.11,3,Light rain shower,EQ,2024,8,24
nar,USA,34.584333,-85.984,23.1,30.5,16.3,49,10.8,0.0,8,Sunny,EQ,2024,8,24
nar,USA,65.4521,-144.0966,8.1,10.4,5.1,77,14.4,2.69,3,Light rain shower,EQ,2024,8,24
nar,USA,46.55770957,-114.18433,18.7,29.5,12.8,46,36.0,0.04,6,Patchy rain possible,WF,2024,8,23
nar,USA,47.4765,-115.816333,17.3,26.8,10.9,45,13.3,0.22,6,Patchy rain possible,EQ,2024,8,23
nar,MEX,14.87630857,-94.29,26.0,31.0,21.9,78,11.2,1.36,7,Patchy rain possible,EQ,2024,8,23
nar,USA,56.26110857,-161.1548,9.9,10.8,8.9,89,13.3,1.1,3,Light drizzle,EQ,2024,8,23
nar,USA,45.77000857,-106.9085,23.4,30.3,16.4,42,23.8,0.32,8,Sunny,WF,2024,8,22
nar,USA,37.29775857,-116.52825,24.4,30.9,18.3,13,46.1,0.0,8,Sunny,WF,2024,8,22
nar,USA,29.688,-98.252,32.1,39.5,26.1,52,28.8,5.64,8,Thundery outbreaks possible,EQ,2024,8,22
nar,USA,36.99763657,-103.644364,23.8,32.3,16.9,46,22.7,0.62,8,Partly cloudy,WF,2024,8,22
nar,USA,52.0455,178.364333,10.4,10.7,10.1,91,23.0,0.0,4,Partly cloudy,EQ,2024,8,22
nar,USA,43.94284157,-102.355533,28.5,34.4,24.3,43,43.2,0.0,8,Partly cloudy,WF,2024,8,22
nar,USA,18.8,-157.3,25.9,27.3,24.7,74,11.2,0.75,6,Patchy rain possible,TC,2024,8,29
nar,USA,32.2165,-81.947333,24.1,28.0,21.3,84,23.0,13.61,6,Light rain shower,EQ,2024,8,22
nar,MEX,15.88440857,-93.8359,26.0,30.1,21.7,76,12.6,3.49,7,Patchy rain possible,EQ,2024,8,20
nar,USA,35.459833,-84.452833,20.2,26.8,15.0,65,18.4,0.0,6,Mist,EQ,2024,8,20
nar,USA,36.16617524,-122.8561667,15.5,18.1,13.0,73,18.4,0.0,5,Sunny,EQ,2024,8,20
nar,USA,59.0244,-134.5398,11.6,13.0,10.3,80,13.3,0.27,3,Patchy rain possible,EQ,2024,8,20
nar,USA,59.07340857,-134.5398,11.6,13.0,10.3,80,13.3,0.27,3,Patchy rain possible,EQ,2024,8,20
nar,USA,37.9215,-111.2735,19.0,27.4,11.3,44,25.6,0.0,7,Partly cloudy,EQ,2024,8,20
nar,USA,68.68020857,-146.3412,4.9,7.6,1.7,66,22.3,0.01,3,Partly cloudy,EQ,2024,8,20
nar,USA,22.8,-160.6,25.0,26.7,23.4,73,10.1,0.93,6,Patchy rain possible,TC,2024,8,28
nar,USA,34.9085,-98.860333,35.5,42.9,29.7,25,25.6,0.0,10,Partly cloudy,EQ,2024,8,19
nar,USA,30.58800857,-104.147,26.2,31.8,20.4,38,27.0,0.0,8,Sunny,EQ,2024,8,19
nar,USA,39.96750857,-115.401167,22.2,29.5,15.0,22,41.8,0.0,7,Sunny,WF,2024,8,18
nar,USA,57.83610857,-137.8396,14.6,18.0,11.3,77,7.2,0.0,5,Sunny,EQ,2024,8,18
nar,USA,44.5685,-122.635667,16.9,25.0,10.6,71,13.0,0.74,5,Fog,EQ,2024,8,18
nar,USA,60.05430857,-143.189,13.1,16.7,9.6,84,9.7,0.87,4,Overcast,EQ,2024,8,18
nar,USA,39.298833,-109.470167,22.7,30.7,15.9,48,16.9,1.56,7,Patchy rain possible,EQ,2024,8,18
nar,MEX,30.8954,-105.815,31.8,36.0,27.3,27,33.8,0.0,9,Sunny,EQ,2024,8,18
nar,MEX,30.94440857,-105.815,31.8,36.0,27.3,27,33.8,0.0,9,Sunny,EQ,2024,8,18
nar,USA,48.70450857,-122.0138333,12.5,16.2,10.5,91,6.1,9.51,4,Light rain shower,EQ,2024,8,18
nar,USA,58.8714,-139.5264,13.2,14.4,12.2,76,12.2,0.03,3,Overcast,EQ,2024,8,17
nar,USA,42.2698419,-119.3611667,16.8,26.6,6.9,37,37.1,0.0,7,Sunny,EQ,2024,8,17
nar,USA,61.79550857,-154.3681,5.5,8.2,3.5,99,9.7,4.1,2,Light drizzle,EQ,2024,8,17
nar,USA,43.72345857,-110.1454,14.3,24.3,5.0,45,25.9,0.16,6,Partly cloudy,WF,2024,8,16
nar,USA,36.691,-96.705667,30.1,37.6,24.5,54,20.5,1.97,9,Sunny,EQ,2024,8,16
nar,USA,35.60946265,-75.46830392,23.6,25.7,22.5,75,26.6,1.11,6,Cloudy,FL,2024,8,20
nar,USA,33.46067524,-100.5010333,34.1,41.1,27.7,30,27.7,0.07,9,Patchy rain possible,WF,2024,8,16
nar,JAM,18.21920857,-76.7593,28.5,32.1,25.5,75,16.6,1.6,7,Moderate rain at times,EQ,2024,8,16
nar,AIA,18.51250857,-62.9919,28.5,28.8,28.2,74,26.3,0.02,7,Sunny,EQ,2024,8,16
nar,USA,39.439833,-111.059,23.7,27.9,19.4,24,18.4,0.0,7,Sunny,EQ,2024,8,15
nar,USA,34.00402857,-99.1963,35.6,41.7,30.8,30,33.8,0.0,10,Sunny,WF,2024,8,15
nar,CAN,64.76291489,-123.3909094,14.1,18.5,10.2,56,13.7,0.0,5,Partly cloudy,WF,2024,8,15
nar,USA,44.799,-123.758667,13.4,16.6,10.9,90,12.6,0.2,4,Fog,EQ,2024,8,15
nar,USA,37.491667,-110.200333,24.9,29.9,19.5,26,23.4,0.0,7,Sunny,EQ,2024,8,15
nar,CRI,10.06790857,-83.9366,18.6,24.6,13.3,91,5.8,28.68,5,Moderate or heavy rain shower,EQ,2024,8,15
nar,MEX,23.2730516,-101.1087574,21.0,25.9,17.2,63,24.8,1.8,6,Patchy rain possible,FL,2024,8,15
nar,MEX,16.08970857,-92.4676,19.4,24.5,14.7,85,10.4,12.13,5,Light rain shower,EQ,2024,8,14
nar,USA,41.922167,-122.308333,18.4,29.1,9.4,52,23.4,0.01,7,Partly cloudy,EQ,2024,8,14
nar,USA,35.13267524,-95.50766667,31.2,38.9,25.2,53,19.1,0.99,8,Thundery outbreaks possible,EQ,2024,8,14
nar,USA,67.76640857,-142.6218,11.6,16.1,5.7,58,30.2,0.0,5,Partly cloudy,EQ,2024,8,14
nar,CAN,68.19970857,-136.3126,15.8,21.0,10.5,50,10.4,0.0,6,Sunny,EQ,2024,8,14
nar,USA,41.6988,-81.4975,21.2,25.3,17.1,59,14.0,0.0,7,Sunny,EQ,2024,8,14
nar,USA,42.293,-125.070833,13.4,16.9,10.1,84,10.4,0.01,5,Sunny,EQ,2024,8,14
nar,USA,41.91550857,-126.7271,13.2,17.1,9.0,77,11.5,0.01,4,Patchy rain possible,EQ,2024,8,13
nar,USA,61.829333,-144.034333,4.3,8.6,-0.3,94,5.0,12.96,2,Light rain shower,EQ,2024,8,13
nar,USA,57.24300857,-151.7468,10.9,13.3,8.3,70,13.7,0.0,4,Sunny,EQ,2024,8,13
nar,USA,32.47380857,-104.4585,31.3,37.6,25.0,32,34.9,0.0,9,Sunny,EQ,2024,8,13
nar,BMU,31.44900857,-65.2,26.7,27.8,25.6,91,105.5,142.39,6,Moderate or heavy rain shower,SW,2024,8,17
nar,USA,40.2952519,-111.7011567,21.5,24.9,18.7,31,20.5,0.0,6,Sunny,FL,2024,8,15
nar,USA,64.96830857,-148.9112,10.4,11.8,9.5,89,10.8,2.54,3,Light drizzle,EQ,2024,9,8
nar,FRA,16.24900857,-61.3,26.4,27.5,24.9,87,42.5,49.65,6,Torrential rain shower,SW,2024,8,13
nar,USA,35.48292085,-97.57596803,32.2,38.7,26.6,40,24.8,0.0,9,Partly cloudy,FL,2024,8,13
