date,event_name,lat,lng,continent,country_code,temperature,max_temperature,min_temperature,humidity,wind_speed,precipitation,uv_index,condition,event_type
09-01-2024,CENTRAL ALASKA,62.2347,-154.2832,nar,USA,-17.7,-11,-24,96,12.6,0.07,1,Light freezing rain,EQ
09-01-2024,Tropical Storm Hone,26.14900857,-179.8,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,SW
09-01-2024,NEAR COAST OF WASHINGTON,47.689,-124.039333,nar,USA,6.4,10.3,5.6,83,49.7,19.04,3,Moderate or heavy rain with thunder,EQ
09-01-2024,NORTHERN CALIFORNIA,40.787834,-123.554001,nar,USA,1.3,3.7,-6.5,98,7.9,7.3,1,Light rain,EQ
09-01-2024,"M 2.9 - 6 km ENE of Capulin, New Mexico",36.30310857,-106.734,nar,USA,-9.9,-1.1,-16.2,70,14,0,2,Sunny,EQ
09-01-2024,"M 3.8 - 5 km SE of Pierreville, Canada",46.09280857,-72.7553,nar,CAN,-7.8,-2.3,-11.6,87,26.3,5.22,1,Overcast,EQ
09-01-2024,"M 3.5 - 31 km NE of Seeley Lake, Montana",47.39940857,-113.1597,nar,USA,-7.9,-0.6,-14.4,88,33.8,6.08,1,Light snow showers,EQ
09-01-2024,"GEORGIA, USA",33.8355,-82.147167,nar,USA,11.5,18.1,5.8,92,40,80.75,4,Light rain shower,EQ
09-01-2024,NEW JERSEY,40.6728,-74.7275,nar,USA,2.1,12.3,-3.9,95,38.2,59.48,3,Moderate rain,EQ
31-08-2024,SOUTHERN CALIFORNIA,34.379333,-119.928667,nar,USA,23.5,29.8,17,48,12.2,0.03,6,Patchy rain possible,EQ
31-08-2024,SOUTHEASTERN ALASKA,58.7432,-137.5187,nar,USA,11.4,12.7,10.2,97,8.6,10.76,3,Light rain,EQ
31-08-2024,"M 2.7 - 25 km WSW of Lander, Wyoming",42.79930857,-109.0215,nar,USA,22.7,30.3,15.8,16,15.5,0,8,Sunny,EQ
31-08-2024,NORTHERN ALASKA,66.1462,-147.8202,nar,USA,7.1,11,4.4,72,9,0,4,Partly cloudy,EQ
31-08-2024,KENTUCKY,38.7255,-83.6315,nar,USA,24.2,31.5,18.8,76,14,7.41,7,Patchy light drizzle,EQ
31-08-2024,ARKANSAS,35.324,-92.660167,nar,USA,25.4,30.3,21.6,76,12.6,1.45,7,Patchy rain possible,EQ
31-08-2024,CENTRAL ALASKA,63.0849,-145.1349,nar,USA,5.4,9.6,1.2,74,11.2,1.21,2,Light rain shower,EQ
31-08-2024,OFF COAST OF NORTHERN CALIFORNIA,41.511667,-125.5825,nar,USA,14.7,16.7,13.2,86,8.6,0.02,4,Patchy rain possible,EQ
31-08-2024,Tropical Storm Hone,22.24900857,-175.7,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,SW
31-08-2024,WASHINGTON,46.269833,-120.5105,nar,USA,26.6,35.3,18.9,20,7.6,0,9,Sunny,EQ
31-08-2024,"M 4.3 - 86 km E of Codrington, Antigua and Barbuda",17.64530857,-61.0117,nar,ATG,28.6,28.9,28.4,74,26.3,2.8,6,Light rain shower,EQ
